,V3,V2,V4,V1,x
NMB382,0.01775885,0.993411793,0.110978785,0.010682854,1
NMB384,0.13791634,0.189628617,0.126899666,0.963094972,3
NMB388,0.025914908,0.133664879,-0.101266901,0.984524973,3
NMB399,0.626045561,0.01679449,0.345035136,0.698024909,3
NMB403,0.99734514,0.010287642,0.06938942,-0.009120438,4
NMB406,0.143357301,0.318694799,0.930483256,0.098593966,2
NMB409,0.086037751,0.928143224,0.280028966,0.228126937,1
NMB41,0.343838045,0.21770665,0.056819608,0.910568806,3
NMB410,0.983606659,0.114749386,0.055577195,0.125325674,4
NMB411,0.377346797,0.402745569,0.047262921,0.831141877,3
NMB412,0.986261437,-0.011458608,0.160281094,0.033222201,4
NMB413,0.047806899,0.404432141,0.90858962,0.079329575,2
NMB416,0.826036661,0.218211743,0.259688045,0.44787332,4
NMB417,0.05184701,0.984999131,0.156409136,0.047363359,1
NMB420,0.175091101,0.080890125,0.128984329,0.971863763,3
NMB422,0.274441279,0.138200637,0.196125806,0.930437374,3
NMB433,0.163134609,0.238750946,0.147626908,0.944913255,3
NMB436,0.079994355,0.988184852,0.102164656,0.079023066,1
NMB437,0.150116129,0.464075849,0.843907744,0.219317482,2
NMB438,0.99342682,-0.042171849,0.103564565,-0.016298309,4
NMB440,0.248328877,0.099522473,0.244104662,0.931261855,3
NMB441,0.334973367,0.145463316,0.578620259,0.727980249,3
NMB443,0.983072409,-0.004103098,0.172649389,0.055725393,4
NMB445,0.801561579,0.154740391,0.188193077,0.545025124,4
NMB456,0.196155554,0.184736322,0.166980603,0.947528309,3
NMB457,0.935124023,0.048298451,0.02379213,0.348607126,4
NMB459,0.306365618,0.061420699,-0.094418784,0.944273827,3
NMB460,0.087475478,0.17756057,0.976568139,-0.078637938,2
NMB462,0.028446478,0.223161584,0.945095225,0.233797019,2
NMB465,0.097095442,0.060060493,0.988357944,-0.09717418,2
NMB476,0.001427212,0.04649539,0.134894886,0.989072834,3
NMB483,0.142293505,-0.02441137,0.988478502,-0.037100727,2
NMB484,0.440283023,0.083545665,0.333180896,0.827871482,3
NMB485,0.218319425,0.244624461,0.891427459,0.311402918,2
